"folder_id","folder_name","working_folder_path","source_anchor_examples","path_locked","operating_artifacts_visible","adult_moves_named","audience_separation","training_facilitation","coaching_observation","data_permissions","grade_band_differences","slide_alignment","tracker_crosswalk_backlog","main_gap"
"01","01_START_HERE","01_Current_System/01_Launch_Kit/Current/03_90_Day_Rollout_Package/01_START_HERE","01_START_HERE/Stakeholder_Navigation_Map.md; 15_SLIDE_DECK_DRAFTS/Matchbook_Culture_Decks/_Content_Handoff/00_HANDOFF_MANIFEST.md; 16_CLAUDE_DESIGN_HANDOFF/Bundle_Navigation_Map.md","MET | 00_Admin/Matchbook_Framework_Build_Control_Center.md; 00_Admin/Matchbook_Folder-Based_System_Plan.md; _INDEX.md","MET | 01_START_HERE/Master_Read-Me.md; 01_START_HERE/Executive_Overview.md; 01_START_HERE/How_to_Use_This_Bundle.md; 01_START_HERE/Stakeholder_Navigation_Map.md; 01_START_HERE/Implementation_Non-Negotiables.md","N/A | Control layer; live adult-move files sit in 03_TEACHER_IMPLEMENTATION; 09_RESPONSIVE_BEHAVIOR_PLAN; 10_RESTORATIVE_REPAIR; 17_SCHOOLWIDE_ROUTINES; 18_BEHAVIOR_INTERVENTION_LADDER","MET | 01_START_HERE/Master_Read-Me.md; 01_START_HERE/How_to_Use_This_Bundle.md; 01_START_HERE/Stakeholder_Navigation_Map.md","PARTIAL | 01_START_HERE/90-Day_Rollout_At-a-Glance.md; 01_START_HERE/Executive_Overview.md | Detailed facilitation lives in 04_PROFESSIONAL_DEVELOPMENT","PARTIAL | 01_START_HERE/Implementation_Non-Negotiables.md; 13_COACHING_OBSERVATION_AND_RUBRIC_ALIGNMENT/Observation_and_Coaching_Tool.md","PARTIAL | 01_START_HERE/Executive_Overview.md; 14_DATA_TRACKING_AND_APP_READINESS/Dashboard_Indicator_Map.md","MET | Stakeholder_Navigation_Map.md points teachers and coaches to banded source folders; grade-band doctrine is distributed across 03, 06, 17, 18, 19, 20, and the slide handoff manifest.","MET | 00_HANDOFF_MANIFEST.md; Design_Brief_2026-06-01.md; Bundle_Navigation_Map.md","CLOSED | Navigation evidence verified in Start Here plus design and deck source maps.","CLOSED 2026-06-04: Navigation coverage verified through Stakeholder_Navigation_Map.md, Bundle_Navigation_Map.md, and the deck handoff manifest; grade-band map coverage is distributed across operating folders."
"02","02_LEADERSHIP_ALIGNMENT","01_Current_System/01_Launch_Kit/Current/03_90_Day_Rollout_Package/02_LEADERSHIP_ALIGNMENT","02_LEADERSHIP_ALIGNMENT/90-Day_Leadership_Decision_Map.md; Decision_Log.md; RACI_Cleanup_Sheet.md; Weekly_Leadership_Tactical_Agenda.md","MET | 00_Admin/Matchbook_Framework_Build_Control_Center.md; 00_Admin/Matchbook_Folder-Based_System_Plan.md; _INDEX.md","MET | 02_LEADERSHIP_ALIGNMENT/90-Day_Leadership_Decision_Map.md; 02_LEADERSHIP_ALIGNMENT/Leadership_Commitments_Needed.md; 02_LEADERSHIP_ALIGNMENT/Decision_Log.md; 02_LEADERSHIP_ALIGNMENT/Scope_Escalation_Pathway.md; 02_LEADERSHIP_ALIGNMENT/Weekly_Leadership_Tactical_Agenda.md","MET | 02_LEADERSHIP_ALIGNMENT/Decision_Log.md; 02_LEADERSHIP_ALIGNMENT/Weekly_Leadership_Tactical_Agenda.md; 02_LEADERSHIP_ALIGNMENT/Scope_Escalation_Pathway.md; 02_LEADERSHIP_ALIGNMENT/Leadership_Commitments_Needed.md","MET | 02_LEADERSHIP_ALIGNMENT/Leadership_Alignment_Brief.md; 02_LEADERSHIP_ALIGNMENT/Principal-Leadership_Team_Talking_Points.md; 02_LEADERSHIP_ALIGNMENT/Matchbook-Specific_Culture_Alignment_Page.md","MET | 02_LEADERSHIP_ALIGNMENT/Leadership_Alignment_Brief.md; 02_LEADERSHIP_ALIGNMENT/Leadership_Presentation_Script.md; 15_SLIDE_DECK_DRAFTS/Leadership_Alignment_Deck.md","MET | 02_LEADERSHIP_ALIGNMENT/Low-Inference_Evidence_Guide.md; 02_LEADERSHIP_ALIGNMENT/Quarterly_Culture_Deep-Dive_Protocol.md; 13_COACHING_OBSERVATION_AND_RUBRIC_ALIGNMENT/Leader_Calibration_Guide.md","PARTIAL | 02_LEADERSHIP_ALIGNMENT/Implementation_Risk_Tracker.md; 02_LEADERSHIP_ALIGNMENT/90-Day_Leadership_Decision_Map.md; 14_DATA_TRACKING_AND_APP_READINESS/Dashboard_Indicator_Map.md | Data implications are attached but not fully localized","N/A | Not a primary grade-band folder","MET | 15_SLIDE_DECK_DRAFTS/Leadership_Alignment_Deck.md; 15_SLIDE_DECK_DRAFTS/90-Day_Rollout_Overview_Deck.md","CLOSED | Leadership live decision coverage verified through decision map, decision log, RACI cleanup, and weekly tactical agenda.","CLOSED 2026-06-04: Leadership decision checklist function is covered by 90-Day_Leadership_Decision_Map.md, Decision_Log.md, RACI_Cleanup_Sheet.md, and Weekly_Leadership_Tactical_Agenda.md."
"03","03_TEACHER_IMPLEMENTATION","01_Current_System/01_Launch_Kit/Current/03_90_Day_Rollout_Package/03_TEACHER_IMPLEMENTATION","03_TEACHER_IMPLEMENTATION/TEACHER_FIELD_PACKET/Assembled_Teacher_Field_Packet.md; 00_Vision_Brief.md; Teacher_Implementation_Playbook.md; Script_Card_Set.md","MET | 00_Admin/Matchbook_Framework_Build_Control_Center.md; 00_Admin/Matchbook_Folder-Based_System_Plan.md; _INDEX.md","MET | 03_TEACHER_IMPLEMENTATION/Teacher_Implementation_Playbook.md; 03_TEACHER_IMPLEMENTATION/Teacher_Quick-Start_Guide.md; 03_TEACHER_IMPLEMENTATION/Teacher_Planning_Checklist.md; 03_TEACHER_IMPLEMENTATION/Daily_Morning_Meeting_SOP.md; 03_TEACHER_IMPLEMENTATION/Message_Board_SOP.md; 03_TEACHER_IMPLEMENTATION/Script_Card_Set.md","MET | 03_TEACHER_IMPLEMENTATION/Daily_Morning_Meeting_SOP.md; 03_TEACHER_IMPLEMENTATION/Value_Practice_SOP.md; 03_TEACHER_IMPLEMENTATION/Student_Voice_SOP.md; 03_TEACHER_IMPLEMENTATION/Script_Card_Set.md; 03_TEACHER_IMPLEMENTATION/Teacher_Troubleshooting_Guide.md","MET | 03_TEACHER_IMPLEMENTATION/Teacher_Quick-Start_Guide.md; 03_TEACHER_IMPLEMENTATION/Teacher_FAQ.md | Teacher-facing surfaces are clearly separated; student and family surfaces live in 11 and 12","MET | Teacher packet is packaged through TEACHER_FIELD_PACKET/Assembled_Teacher_Field_Packet.md and supported by teacher guidance and practice labs.","PARTIAL | 03_TEACHER_IMPLEMENTATION/Teacher_Troubleshooting_Guide.md; 13_COACHING_OBSERVATION_AND_RUBRIC_ALIGNMENT/Observation_and_Coaching_Tool.md; 13_COACHING_OBSERVATION_AND_RUBRIC_ALIGNMENT/Coaching_Conversation_Guide.md","PARTIAL | 14_DATA_TRACKING_AND_APP_READINESS/Message_Board_Object_Schema.md; 14_DATA_TRACKING_AND_APP_READINESS/Script_Object_Schema.md; 14_DATA_TRACKING_AND_APP_READINESS/Teacher_Burden_Check.md","PARTIAL | K-2, 3-5, and 6-8 shifts are named in guidance; generic quick cards exist; standalone banded quick cards were not found.","MET | 15_SLIDE_DECK_DRAFTS/Teacher_Training_Deck.md; 15_SLIDE_DECK_DRAFTS/Morning_Meeting_Culture_Lab_Training_Deck.md","PARTIAL | Teacher field packet is complete; separate grade-band quick-card packaging remains live follow-up.","PARTIAL 2026-06-04: Teacher field packet is packaged and grade-band refinements are present in guidance; standalone K-2, 3-5, and 6-8 quick cards still need packaging."
"04","04_PROFESSIONAL_DEVELOPMENT","01_Current_System/01_Launch_Kit/Current/03_90_Day_Rollout_Package/04_PROFESSIONAL_DEVELOPMENT","04_PROFESSIONAL_DEVELOPMENT/09_Staff_Training_and_Onboarding_Pathway/09_Staff_Training_and_Onboarding_Pathway.docx","MET | 00_Admin/Matchbook_Framework_Build_Control_Center.md; 00_Admin/Matchbook_Folder-Based_System_Plan.md; _INDEX.md","MET | 04_PROFESSIONAL_DEVELOPMENT/PD_Facilitator_Guide.md; 04_PROFESSIONAL_DEVELOPMENT/90-Minute_Synchronous_Training_Plan.md; 04_PROFESSIONAL_DEVELOPMENT/Asynchronous_Course_Outline.md; 04_PROFESSIONAL_DEVELOPMENT/Module-by-Module_Learning_Path.md; 04_PROFESSIONAL_DEVELOPMENT/Teacher_Practice_Lab_Guide.md","MET | Differentiated_Adult_Pathways_Map.md separates returning, new-hire, substitute, Tier 2, and leader on-ramps; Adult_Practice_Scenarios.md; Teacher_Practice_Lab_Guide.md","MET | New_Hire_Compressed_Pathway.md; Substitute_Pathway.md; Tier_2_Training_Strand.md fully separate the lanes; Module-by-Module_Learning_Path.md; PD_Facilitator_Guide.md","MET | 04_PROFESSIONAL_DEVELOPMENT/PD_Facilitator_Guide.md; 04_PROFESSIONAL_DEVELOPMENT/90-Minute_Synchronous_Training_Plan.md; 04_PROFESSIONAL_DEVELOPMENT/Asynchronous_Course_Outline.md; 04_PROFESSIONAL_DEVELOPMENT/Teacher_Practice_Lab_Guide.md","PARTIAL | 04_PROFESSIONAL_DEVELOPMENT/PD_Completion_Tracker.md; 04_PROFESSIONAL_DEVELOPMENT/Teacher_Practice_Lab_Guide.md; 13_COACHING_OBSERVATION_AND_RUBRIC_ALIGNMENT/Teacher_Growth_Conference_Template.md","PARTIAL | 04_PROFESSIONAL_DEVELOPMENT/PD_Completion_Tracker.md; 14_DATA_TRACKING_AND_APP_READINESS/Stakeholder_Permissions_Map.md","N/A | Not a primary grade-band folder","MET | 15_SLIDE_DECK_DRAFTS/Teacher_Training_Deck.md; 15_SLIDE_DECK_DRAFTS/Culture_Camp_Launch_Deck.md; 15_SLIDE_DECK_DRAFTS/Morning_Meeting_Culture_Lab_Training_Deck.md","PARTIAL | 00_Admin/Audits_And_Maps/Matchbook_Folder_Audit_Tracker.csv; 00_Admin/Audits_And_Maps/Matchbook_Master_Crosswalk_DRAFT.md; 00_Admin/Audits_And_Maps/Matchbook_Artifact_Build_Backlog.md | Crosswalk and backlog still need full folder-first cleanup","CLOSED 2026-06-03: Differentiated_Adult_Pathways_Map.md; New_Hire_Compressed_Pathway.md; Substitute_Pathway.md; Tier_2_Training_Strand.md add the separated adult-training strands"
"05","05_CULTURE_CAMP","01_Current_System/01_Launch_Kit/Current/03_90_Day_Rollout_Package/05_CULTURE_CAMP","N/A | Folder is the working set; no nested source anchor currently visible","MET | 00_Admin/Matchbook_Framework_Build_Control_Center.md; 00_Admin/Matchbook_Folder-Based_System_Plan.md; _INDEX.md","MET | 05_CULTURE_CAMP/Culture_Camp_10-Day_Launch_Kit.md; 05_CULTURE_CAMP/Day-by-Day_Teacher_Guide.md; 05_CULTURE_CAMP/Day-by-Day_Student_Practice_Plan.md; 05_CULTURE_CAMP/Culture_Camp_Message_Boards.md; 05_CULTURE_CAMP/Day_10_Readiness_Review.md","MET | 05_CULTURE_CAMP/Day-by-Day_Teacher_Guide.md; 05_CULTURE_CAMP/Culture_Camp_10-Day_Launch_Kit.md; 05_CULTURE_CAMP/Culture_Camp_Reteach_Plan.md; 05_CULTURE_CAMP/Culture_Camp_Fidelity_Checklist.md","MET | 05_CULTURE_CAMP/Day-by-Day_Teacher_Guide.md; 05_CULTURE_CAMP/Day-by-Day_Student_Practice_Plan.md; 05_CULTURE_CAMP/Culture_Camp_Leadership_Walkthrough_Tool.md; 05_CULTURE_CAMP/Culture_Camp_Family_Communication.md","MET | 05_CULTURE_CAMP/Culture_Camp_Overview.md; 05_CULTURE_CAMP/Culture_Camp_10-Day_Launch_Kit.md; 05_CULTURE_CAMP/Day-by-Day_Teacher_Guide.md; 15_SLIDE_DECK_DRAFTS/Culture_Camp_Launch_Deck.md","MET | 05_CULTURE_CAMP/Culture_Camp_Fidelity_Checklist.md; 05_CULTURE_CAMP/Culture_Camp_Leadership_Walkthrough_Tool.md; 05_CULTURE_CAMP/Day_10_Readiness_Review.md; 13_COACHING_OBSERVATION_AND_RUBRIC_ALIGNMENT/Culture_Camp_Fidelity_Tool.md","PARTIAL | 05_CULTURE_CAMP/Day_10_Readiness_Review.md; 14_DATA_TRACKING_AND_APP_READINESS/App_Module_Map.md; 14_DATA_TRACKING_AND_APP_READINESS/Dashboard_Indicator_Map.md","PARTIAL | Grade-band moves now named in Houses_Launch_SOP.md; Sorting_Ritual_Run_of_Show.md; First_House_Meeting_Guide.md | A full banded Culture Camp sequence remains optional","MET | 15_SLIDE_DECK_DRAFTS/Culture_Camp_Launch_Deck.md; 06_MORNING_MEETING_CULTURE_LAB/Culture Camp Launch Deck.pdf","PARTIAL | 00_Admin/Audits_And_Maps/Matchbook_Folder_Audit_Tracker.csv; 00_Admin/Audits_And_Maps/Matchbook_Master_Crosswalk_DRAFT.md; 00_Admin/Audits_And_Maps/Matchbook_Artifact_Build_Backlog.md | Crosswalk and backlog still need full folder-first cleanup","CLOSED 2026-06-03: Houses_Launch_SOP.md; Sorting_Ritual_Run_of_Show.md; First_House_Meeting_Guide.md make the Day 8-10 Houses and Friday Cypher handoff explicit"
"06","06_MORNING_MEETING_CULTURE_LAB","01_Current_System/01_Launch_Kit/Current/03_90_Day_Rollout_Package/06_MORNING_MEETING_CULTURE_LAB","06_MORNING_MEETING_CULTURE_LAB/v.2-morning_meeting_interactive_guide.html; Skeletons/Morning_Meeting_Program_Manual.md; Skeletons/Morning_Meeting_Observation_Tool.md; Skeletons/Morning_Meeting_Grade-Band_Adaptation_Guide.md","MET | 00_Admin/Matchbook_Framework_Build_Control_Center.md; 00_Admin/Matchbook_Folder-Based_System_Plan.md; _INDEX.md","MET | Skeletons include program manual, minute-by-minute guide, message board templates, prompt banks, practice move bank, data tracker, observation tool, and grade-band adaptation guide.","MET | 06_MORNING_MEETING_CULTURE_LAB/MW_MorningMeeting_Culture_Lab_Detailed_Bundle.pdf; 06_MORNING_MEETING_CULTURE_LAB/v.2-morning_meeting_interactive_guide.html; 06_MORNING_MEETING_CULTURE_LAB/Teacher Training Deck â€” Culture Lab.pdf","PARTIAL | 06_MORNING_MEETING_CULTURE_LAB/MW_MorningMeeting_Culture_Lab_Detailed_Bundle.pdf; 06_MORNING_MEETING_CULTURE_LAB/Morning Meeting Culture Lab Training Deck.pdf | Student and family surfaces largely live in 11 and 12","MET | 06_MORNING_MEETING_CULTURE_LAB/Morning Meeting Culture Lab Training Deck.pdf; 06_MORNING_MEETING_CULTURE_LAB/Teacher Training Deck â€” Culture Lab.pdf; 06_MORNING_MEETING_CULTURE_LAB/v.2-morning_meeting_interactive_guide.html","MET | Skeletons/Morning_Meeting_Observation_Tool.md; 13/Morning_Meeting_Walkthrough_Form.md; 13/Rubric_Alignment_Crosswalk.md","PARTIAL | 14_DATA_TRACKING_AND_APP_READINESS/Morning_Meeting_Record_Schema.md; 14_DATA_TRACKING_AND_APP_READINESS/Message_Board_Object_Schema.md; 14_DATA_TRACKING_AND_APP_READINESS/Dashboard_Indicator_Map.md","MET | Skeletons/Morning_Meeting_Grade-Band_Adaptation_Guide.md gives K-2, 3-5, and 6-8 adaptations.","MET | 06_MORNING_MEETING_CULTURE_LAB/Morning Meeting Culture Lab Training Deck.pdf; 15_SLIDE_DECK_DRAFTS/Morning_Meeting_Culture_Lab_Training_Deck.md","CLOSED | Interactive guide and observation logic have editable markdown counterparts in Skeletons.","CLOSED 2026-06-04: Morning Meeting logic converted to editable docs through Skeletons program manual, observation tool, data tracker, prompt banks, and grade-band adaptation guide."
"07","07_FRIDAY_CYPHER","01_Current_System/01_Launch_Kit/Current/03_90_Day_Rollout_Package/07_FRIDAY_CYPHER","N/A | Folder is the working set; no nested source anchor currently visible","MET | 00_Admin/Matchbook_Framework_Build_Control_Center.md; 00_Admin/Matchbook_Folder-Based_System_Plan.md; _INDEX.md","MET | 07_FRIDAY_CYPHER/Friday_Cypher_Program_Guide.md; 07_FRIDAY_CYPHER/Friday_Cypher_SOP.md; 07_FRIDAY_CYPHER/Weekly_Run_of_Show.md; 07_FRIDAY_CYPHER/Friday_Cypher_Nomination_Protocol.md; 07_FRIDAY_CYPHER/Friday_Cypher_Student_Scripts.md","MET | 07_FRIDAY_CYPHER/Friday_Cypher_Program_Guide.md; 07_FRIDAY_CYPHER/Friday_Cypher_SOP.md; 07_FRIDAY_CYPHER/Weekly_Run_of_Show.md; 07_FRIDAY_CYPHER/Broadcast_Team_Roles.md; 07_FRIDAY_CYPHER/Walk-In_Six_Protocol.md","MET | 07_FRIDAY_CYPHER/Friday_Cypher_Student_Scripts.md; 07_FRIDAY_CYPHER/Friday_Cypher_Family_Recap_Template.md; 07_FRIDAY_CYPHER/Broadcast_Team_Roles.md; 07_FRIDAY_CYPHER/Student_Spokesperson_Guide.md","MET | 07_FRIDAY_CYPHER/Student_Spokesperson_Guide.md; 07_FRIDAY_CYPHER/Weekly_Run_of_Show.md; 07_FRIDAY_CYPHER/Friday_Cypher_Program_Guide.md; 15_SLIDE_DECK_DRAFTS/Friday_Cypher_Training_Deck.md","PARTIAL | 07_FRIDAY_CYPHER/Friday_Cypher_Data_Tracker.md; 13_COACHING_OBSERVATION_AND_RUBRIC_ALIGNMENT/Observation_and_Coaching_Tool.md | Missing a clearly named Friday Cypher walkthrough form","MET | 07_FRIDAY_CYPHER/Friday_Cypher_Data_Tracker.md; 14_DATA_TRACKING_AND_APP_READINESS/Recognition_Eligibility_Rules.md; 14_DATA_TRACKING_AND_APP_READINESS/App_Module_Map.md","PARTIAL | Grade-band recognition and emcee moves now named across LiveSchool_and_Friday_Cypher_Operations_Guide.md and the new Friday Cypher operating files","MET | 15_SLIDE_DECK_DRAFTS/Friday_Cypher_Training_Deck.md; 06_MORNING_MEETING_CULTURE_LAB/Friday Cypher Training Deck.pdf","PARTIAL | 00_Admin/Audits_And_Maps/Matchbook_Folder_Audit_Tracker.csv; 00_Admin/Audits_And_Maps/Matchbook_Master_Crosswalk_DRAFT.md; 00_Admin/Audits_And_Maps/Matchbook_Artifact_Build_Backlog.md | Crosswalk and backlog still need full folder-first cleanup","CLOSED 2026-06-03: LiveSchool_and_Friday_Cypher_Operations_Guide.md; House_Evidence_Tracker_and_Review_Queue.md; House_Leaderboard_and_Cycle_Data_View.md; Winner_Roster_Tracker.md; Cypher_Champion_and_Week_9_Tracker.md; Absent_Winner_and_Make-Good_SOP.md; Parent_Communication_and_Notification_Pack.md establish one recognition model; House_Cycle_Integration_Guide.md realigned to canonical Houses doctrine"
"08","08_FAMILY_CONNECTION_WHEEL","01_Current_System/01_Launch_Kit/Current/03_90_Day_Rollout_Package/08_FAMILY_CONNECTION_WHEEL","N/A | Folder is the working set; no nested source anchor currently visible","MET | 00_Admin/Matchbook_Framework_Build_Control_Center.md; 00_Admin/Matchbook_Folder-Based_System_Plan.md; _INDEX.md","MET | 08_FAMILY_CONNECTION_WHEEL/Family_Connection_Wheel_Program_Guide.md; 08_FAMILY_CONNECTION_WHEEL/Family_Connection_Wheel_SOP.md; 08_FAMILY_CONNECTION_WHEEL/Call_Type_Definitions.md; 08_FAMILY_CONNECTION_WHEEL/Family_Follow-Up_Protocol.md","MET | 08_FAMILY_CONNECTION_WHEEL/Family_Connection_Wheel_SOP.md; 08_FAMILY_CONNECTION_WHEEL/Call_Type_Definitions.md; 08_FAMILY_CONNECTION_WHEEL/Shout-Out_Call_Script.md; 08_FAMILY_CONNECTION_WHEEL/Growth_Call_Script.md; 08_FAMILY_CONNECTION_WHEEL/Partnership_Call_Script.md","MET | 08_FAMILY_CONNECTION_WHEEL/Privacy_and_Dignity_Guardrails.md; 08_FAMILY_CONNECTION_WHEEL/Family_Connection_Wheel_Program_Guide.md; 08_FAMILY_CONNECTION_WHEEL/Call_Type_Definitions.md","MET | 08_FAMILY_CONNECTION_WHEEL/Family_Connection_Wheel_Program_Guide.md; 08_FAMILY_CONNECTION_WHEEL/Family_Connection_Wheel_SOP.md; 15_SLIDE_DECK_DRAFTS/Family_Connection_Wheel_Training_Deck.md","PARTIAL | 08_FAMILY_CONNECTION_WHEEL/Family_Contact_Evidence_Tracker.md; 08_FAMILY_CONNECTION_WHEEL/Family_Follow-Up_Protocol.md | Missing a clearly named fidelity or review routine for call quality","MET | 08_FAMILY_CONNECTION_WHEEL/Family_Connection_Dashboard_Fields.md; 08_FAMILY_CONNECTION_WHEEL/Family_Contact_Evidence_Tracker.md; 14_DATA_TRACKING_AND_APP_READINESS/Family_Connection_Record_Schema.md; 08_FAMILY_CONNECTION_WHEEL/Privacy_and_Dignity_Guardrails.md","MET | Family_Contact_by_Grade_Band.md names K-2, 3-5, 6-8 contact variants for all three call types","MET | 15_SLIDE_DECK_DRAFTS/Family_Connection_Wheel_Training_Deck.md","PARTIAL | 00_Admin/Audits_And_Maps/Matchbook_Folder_Audit_Tracker.csv; 00_Admin/Audits_And_Maps/Matchbook_Master_Crosswalk_DRAFT.md; 00_Admin/Audits_And_Maps/Matchbook_Artifact_Build_Backlog.md | Crosswalk and backlog still need full folder-first cleanup","CLOSED 2026-06-03: Call_Type_Trigger_Rules.md sets triggers and follow-up loop closure; Call_Type_Definitions.md rewritten to three restorative-team-conducted call types with the teacher spinning the wheel"
"09","09_RESPONSIVE_BEHAVIOR_PLAN","01_Current_System/01_Launch_Kit/Current/03_90_Day_Rollout_Package/09_RESPONSIVE_BEHAVIOR_PLAN","N/A | Folder is the working set; no nested source anchor currently visible","MET | 00_Admin/Matchbook_Framework_Build_Control_Center.md; 00_Admin/Matchbook_Folder-Based_System_Plan.md; _INDEX.md","MET | 09_RESPONSIVE_BEHAVIOR_PLAN/Responsive_Behavior_Plan_Overview.md; 09_RESPONSIVE_BEHAVIOR_PLAN/Responsive_Behavior_Plan_SOP.md; 09_RESPONSIVE_BEHAVIOR_PLAN/Response_Pathway.md; 09_RESPONSIVE_BEHAVIOR_PLAN/Private_Check-In_Protocol.md; 09_RESPONSIVE_BEHAVIOR_PLAN/Live_Card_System.md","MET | 09_RESPONSIVE_BEHAVIOR_PLAN/Response_Pathway.md; 09_RESPONSIVE_BEHAVIOR_PLAN/Private_Check-In_Protocol.md; 09_RESPONSIVE_BEHAVIOR_PLAN/Teacher_Reset_Scripts.md; 09_RESPONSIVE_BEHAVIOR_PLAN/Repair_and_Re-Entry_Routine.md; 09_RESPONSIVE_BEHAVIOR_PLAN/Teach_It-Use_It_Live-Reflect_and_Report_Guide.md","PARTIAL | 09_RESPONSIVE_BEHAVIOR_PLAN/Responsive_Behavior_Plan_SOP.md; 09_RESPONSIVE_BEHAVIOR_PLAN/Documentation_and_Reflection_Tool.md | Adult-facing materials are strong, but family and leadership handoff surfaces are not fully split in-folder","MET | 09_RESPONSIVE_BEHAVIOR_PLAN/Responsive_Behavior_Plan_Training_Deck.md; 09_RESPONSIVE_BEHAVIOR_PLAN/Scenario_Bank.md; 09_RESPONSIVE_BEHAVIOR_PLAN/Teach_It-Use_It_Live-Reflect_and_Report_Guide.md","MET | 09_RESPONSIVE_BEHAVIOR_PLAN/Documentation_and_Reflection_Tool.md; 09_RESPONSIVE_BEHAVIOR_PLAN/Scenario_Bank.md; 13_COACHING_OBSERVATION_AND_RUBRIC_ALIGNMENT/Observation_and_Coaching_Tool.md","MET | 09_RESPONSIVE_BEHAVIOR_PLAN/Responsive_Plan_App_Field_Map.md; 09_RESPONSIVE_BEHAVIOR_PLAN/Live_Card_System.md; 14_DATA_TRACKING_AND_APP_READINESS/Observation_Record_Schema.md","MET | Grade_Band_Escalation_Examples.md provides K-2, 3-5, 6-8 response examples","MET | 09_RESPONSIVE_BEHAVIOR_PLAN/Responsive_Behavior_Plan_Training_Deck.md; 15_SLIDE_DECK_DRAFTS/Responsive_Behavior_Plan_Training_Deck.md","PARTIAL | 00_Admin/Audits_And_Maps/Matchbook_Folder_Audit_Tracker.csv; 00_Admin/Audits_And_Maps/Matchbook_Master_Crosswalk_DRAFT.md; 00_Admin/Audits_And_Maps/Matchbook_Artifact_Build_Backlog.md | Crosswalk and backlog still need full folder-first cleanup","CLOSED 2026-06-03: Grade_Band_Escalation_Examples.md adds banded examples; Restorative_Stance_and_Community_Principles.md anchors stance; handoffs tightened in 18/Behavior_Response_Chain_Handoff_Map.md"
"10","10_RESTORATIVE_REPAIR","01_Current_System/01_Launch_Kit/Current/03_90_Day_Rollout_Package/10_RESTORATIVE_REPAIR","N/A | Folder is the working set; no nested source anchor currently visible","MET | 00_Admin/Matchbook_Framework_Build_Control_Center.md; 00_Admin/Matchbook_Folder-Based_System_Plan.md; _INDEX.md","MET | 10_RESTORATIVE_REPAIR/Restorative_Repair_Framework.md; 10_RESTORATIVE_REPAIR/Repair_After_Regulation_SOP.md; 10_RESTORATIVE_REPAIR/Repair_Conversation_Scripts.md; 10_RESTORATIVE_REPAIR/Restorative_Language_Bank.md","MET | 10_RESTORATIVE_REPAIR/Repair_After_Regulation_SOP.md; 10_RESTORATIVE_REPAIR/Repair_Conversation_Scripts.md; 10_RESTORATIVE_REPAIR/Regulate-Relate-Reason_Guide.md; 10_RESTORATIVE_REPAIR/Teacher_Repair_Planning_Tool.md","PARTIAL | 10_RESTORATIVE_REPAIR/Student_Reflection_Form.md; 10_RESTORATIVE_REPAIR/Teacher_Repair_Planning_Tool.md | Family-facing repair surfaces largely live outside the folder","MET | 10_RESTORATIVE_REPAIR/Restorative_Repair_Framework.md; 10_RESTORATIVE_REPAIR/Regulate-Relate-Reason_Guide.md; 15_SLIDE_DECK_DRAFTS/Restorative_Repair_Training_Deck.md","PARTIAL | 10_RESTORATIVE_REPAIR/Repair_Evidence_Tracker.md; 10_RESTORATIVE_REPAIR/Teacher_Repair_Planning_Tool.md; 13_COACHING_OBSERVATION_AND_RUBRIC_ALIGNMENT/Teacher_Growth_Conference_Template.md | Missing a clearly named local walkthrough tool","PARTIAL | 10_RESTORATIVE_REPAIR/Repair_Evidence_Tracker.md; 14_DATA_TRACKING_AND_APP_READINESS/Data_Dictionary.md | Evidence exists, but permissions and dashboard implications are not localized here","MET | Restorative_Repair_by_Grade_Band.md provides K-2, 3-5, 6-8 repair variants","MET | 15_SLIDE_DECK_DRAFTS/Restorative_Repair_Training_Deck.md; 06_MORNING_MEETING_CULTURE_LAB/Restorative Repair Training Deck.pdf","PARTIAL | 00_Admin/Audits_And_Maps/Matchbook_Folder_Audit_Tracker.csv; 00_Admin/Audits_And_Maps/Matchbook_Master_Crosswalk_DRAFT.md; 00_Admin/Audits_And_Maps/Matchbook_Artifact_Build_Backlog.md | Crosswalk and backlog still need full folder-first cleanup","CLOSED 2026-06-03: Restorative_Repair_Observation_Look-Fors.md adds stronger look-fors; family repair-at-home in 12/Repair_at_Home_Guide.md"
